country_code,country,year,population,population_grow,population_under_14,population_above_65,gdp,gdp_growth_rate,unemployment,education_gov_expenditure,health_expenditure,life_expectancy_fem,life_expectancy_male,tuberculosis,hiv,infant_mortality,physicians,gdp_capita,gdp_growth_capita,educ_exp_capita,health_exp_capita,health_expend_category
ARE,United Arab Emirates (the),2005,4588225,12.02,18.34,0.89,182978,4.9,3.1,4.91,2.3,76.82,74.6,2.6,0.736,9,1.5,39879.9099869775,1954.1155893619,1958.1035803606,917.237929700483,high
ARE,United Arab Emirates (the),2010,8549988,7.69,13.16,0.69,289787,1.6,3.7,4.899,3.9,77.77,75.62,1.8,0.846,7.7,1.5,33893.2639437623,542.292223100196,1660.43100060491,1321.83729380673,very high
ARE,United Arab Emirates (the),2019,9630959,1.5,14.6,1.09,382575,0.8,1.7,5.403,3.5,79.16,77.13,1,1.184,6.5,2.4,39723.4584842486,317.787667873988,2146.25846190395,1390.3210469487,very high
AFG,Afghanistan,2005,25654277,3.68,47.86,2.23,6622,9.9,8.5,3.655,9.9,59.63,57.04,189,0.1,84.6,0.2,258.124600432123,25.5543354427802,9.43445414579409,25.5543354427802,very low
AFG,Afghanistan,2010,29185507,2.75,48.18,2.33,16078,3.2,7.8,3.5,8.6,62.46,59.68,189,0.1,72.2,0.2,550.889864616709,17.6284756677347,19.2811452615848,47.3765283570369,very low
AFG,Afghanistan,2019,37172386,2.38,43.09,2.58,21993,2.5,8.8,3.9,10.2,66.03,63.05,189,0.1,60.1,0.3,591.648865370116,14.7912216342529,23.0743057494345,60.3481842677519,low
ATG,Antigua and Barbuda,2005,81465,1.4,26.51,6.98,1022,6.4,8.4,3.4,4.5,76.34,73.58,8.5,1.327,11.5,1.302,12545.2648376603,802.896949610262,426.539004480452,564.536917694715,high
ATG,Antigua and Barbuda,2010,88028,1.47,24.34,7.36,1152,-7.2,10.458,2.5,5.4,77.12,74.44,9.1,1.338,9,1.6,13086.7451265506,-942.245649111646,327.168628163766,706.684236833735,high
ATG,Antigua and Barbuda,2019,96286,0.9,22.08,8.8,1510,3,10.122,4.835,4.3,77.98,75.72,6,1.14,6.8,2.8,15682.4460461542,470.473381384625,758.246266331554,674.345179984629,high
ALB,Albania,2005,3011487,-0.51,26.5,8.5,8052,5.5,17.5,3.2,6.3,78.17,72.71,19,0.765,21.2,1.463,2673.76216467147,147.056919056931,85.5603892694871,168.447016374303,medium
